QUESTION_ID, CONTENT,CORRECT_ANSWER_ID,CORRECT_ANSWER_CONTENT
921,毛泽东称赞：“(    )是在文化战线上，代表全民族的大多数，向着敌人冲锋陷阵的最正确、最勇敢、最坚决、最忠实、最热忱的空前的民族英雄。”,3288,鲁迅
345,1949年4月，人民解放军胜利渡过长江后，中共中央书记处书记(    )接见了出席中国新民主主义青年团第一次全国代表大会的全体代表，并给代表作了报告。,1270,周恩来
1002,(    )是目前所见在中国最早探讨建党思想的文献。,3611,《蔡和森毛泽东建党通信》
545,在现阶段，我国社会主要矛盾已经转化为人民日益增长的(    )需要和(    )的发展之间的矛盾。,1872,美好生活；不平衡不充分
1011,中国共产党党员标准主要是由(    )决定的。,3645,党的工人阶级先锋队性质
927,1938年，毛泽东发表了(    )，科学地预见了抗日战争将经过战略防御、相持、反攻三个阶段。,3310,《论持久战》
251,1953年6 月23日至7月 2日，中国新民主主义青年团第二次全国代表大会在北京举行。(    )等当选为团中央书记处书记。,966,胡耀邦
226,1925年1月在上海召开的中国社会主义青年团第三次全国代表大会上进行的团章修改中，将入团的年龄由15-28岁改为(    )岁。,866,14-25
239,1946年10月底试建的(    )冯庄团支部是人民解放战争时期的第一个农村团支部。,920,新民主主义青年团
769,要当好党的政策在青少年中的(    )，把党的主张全面、及时、准确传递给青少年。,2718,宣传员、讲解员
715,团干部要在广大青年中树立威信、形成号召力，首先要高扬(    )旗帜。自己旗帜举得高、守得住，才能服人。,2551,理想
906,中国工人阶级第一次直接同帝国主义势力进行的有组织的较量是(    )。,3229,香港海员罢工
164,团的支部委员会、总支部委员会、基层委员会任期届满应按期进行换届选举，如需延期，延长期限不超过(    )。,620,一年
12,申请入团的青年要有本支部的(    )名团员作介绍人。,45,2
544,党的十九大报告指出，经过长期努力，中国特色社会主义进入了(    )，这是我国发展新的历史方位。,1865,新时代
957,新中国成立以后，在迅速医治战争创伤，恢复国民经济的基础上，按照毛泽东的提议，党中央不失时机地提出了(    )的过渡时期总路线。,3429,“一化三改”
370,(    )，中共十一大召开，会议提出要加强党对工会、共青团、妇联等群众组织的领导，并且提出要把这些组织整顿好、建设好，充分发挥他们应有的作用。,1343,1977年8月
905,中国共产党在(    )上第一次明确提出反帝反封建的民主革命纲领。,3223,党的二大
753,担起强国使命，青年必须有(    )，在能力素质上强。,2668,本领
11,入团积极分子确定为发展对象之前要参加不少于 (    )学时的团课学习。,43,8
645,(    )是党的形象，是观察党群干群关系、人心向背的晴雨表。,2271,党的作风
885,以下不属于党的三大法宝的是(    )。,3143,实事求是
290,李大钊委派(    )于1920年11月在天津建立了天津社会主义青年团。,1103,张太雷
791,整合团的各类网络新媒体平台，加强与其他社会新媒体的合作与互动，优化“(    )”建设，实现团的各级组织零距离联系服务青年。,2782,青年之声
435,邓小平理论为北京景山学校的题词是：“教育要面向现代化，面向(    )，面向未来。”,1538,世界
248,中国共产主义青年团团旗是团的性质和任务的象征。是毛泽东、周恩来等同志亲自审定，并经党中央批准，于(    )年5月4日由团中央委员会公布的。,955,1950
869,新中国成立后确立的(    )制度，对祖国统一、民族平等、民族团结和地区发展具有重要意义。,3081,民族区域自治
531,团的基层组织应当了解和反映团员与青年的思想、要求，维护他们的权益，关心他们的(    )，开展文化、娱乐、体育活动。,1828,学习、工作、生活和休息
680,国有企业党委(党组)发挥领导作用，把方向、(    )、保落实，依照规定讨论和决定企业重大事项。,2410,管大局
407,1994年4月1日，(    )同志亲笔为“青年文明号”题名。,1455,江泽民
378,帮助青少年树立健康向上的思想和良好的道德是共青团面临的一项十分重要的任务。为此，共青团十届一中全会提出要在全国青少年中开展(    )活动。,1367,“学雷锋，树新风”
29,按照规定，共青团“推优”比例一般不超过团支部人数的(    )。,115,20%
803,以(    )为保障，不断严明团的纪律。,2817,健全完善团内制度
967,中华人民共和国的最高权力机关是(    )。,3470,全国人民代表大会
219,1922年1月15日，社会主义青年团机关刊物(    )创刊。,838,《先驱》
875,预备党员的预备期为(    )。,3104,一年
750,广大青年要从(    )之光中受到启迪，用习近平新时代中国特色社会主义思想构筑强大精神支柱，听党话、跟党走。,2659,真理
227,(    )在青年团三届一中全会上当选团中央局负责人。,870,张太雷
80,团员在(    )人以上的单位，可以建立团总支部。,319,30
637,实行行政领导人负责制的事业单位中党的基层组织，发挥作用。,2240,战斗堡垒
372,1978年12月，中共中央召开了具有历史意义的十一届三中全会。为了全面贯彻这次全会精神，团中央于1979年2月19日至24日在北京召开了(    )。,1351,团省（市、自治区  )委书记会议
